"BehaviorSpace results (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"day-time"
"03/29/2021 11:22:19:596 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12"
"recovery","14","14","14","14","14","14","14","14","14","14","14","14"
"infectious-capability","85","85","85","85","85","85","85","85","85","85","85","85"
"face-mask?","false","false","false","false","false","false","false","false","false","false","false","false"
"random-period?","false","false","false","false","false","false","false","false","false","false","false","false"
"action-mode","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time"
"population","2","2","2","2","5","5","5","5","8","8","8","8"
"death-rate","1","1","1","1","1","1","1","1","1","1","1","1"
"mobility","9","9","9","9","9","9","9","9","9","9","9","9"
"incubation","7","7","7","7","7","7","7","7","7","7","7","7"
"[reporter]","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)"
,"4.4","3.8","2.2","2.65","14.4","14.32","12.92","13.92",,,,
,"4.95","4.05","2.5","2.95","14.42","14.36","12.96","13.92",,,,
,"5.25","4.3","2.7","3.15","14.44","14.42","12.98","13.92",,,,
,"5.5","4.4","2.8","3.2","14.44","14.44","13","13.92",,,,
,"5.55","4.65","3.25","3.5","14.44","14.48","13","13.92",,,,
,"6.05","4.8","3.55","3.6","14.46","14.5","13","13.92",,,,
,"6.45","5.2","3.7","3.95","14.46","14.52","13.02","13.92",,,,
,"6.75","5.5","3.85","4.3","14.46","14.54","13.02","13.92",,,,
,"6.85","5.65","3.95","4.5","14.46","14.56","13.02","13.92",,,,
,"7.05","6","4.05","4.85","14.46","14.56","13.02","13.92",,,,
,"7.35","6.15","4.2","5.1",,"14.56","13.02","13.92",,,,
,"7.5","6.4","4.35","5.45",,"14.56","13.02",,,,,
,"8","6.65","4.55","5.9",,"14.56","13.02",,,,,
,"8.25","7.05","4.8","6.2",,"14.56","13.02",,,,,
,"8.5","7.1","5.15","6.6",,"14.56","13.02",,,,,
,"8.6","7.25","5.4","6.75",,"14.56","13.02",,,,,
,"8.95","7.5","5.6","7.4",,"14.56",,,,,,
,"9.15","7.85","5.8","7.6",,"14.56",,,,,,
,"9.25","8.05","6.35","7.95",,"14.56",,,,,,
,"9.5","8.25","6.65","8.05",,"14.56",,,,,,
,"9.85","8.45","6.9","8.2",,"14.56",,,,,,
,"10.15","8.5","7.15","8.35",,"14.56",,,,,,
,"10.3","8.65","7.5","8.55",,"14.56",,,,,,
,"10.4","8.8","7.6","9",,"14.56",,,,,,
,"10.55","8.9","7.8","9.2",,,,,,,,
,"10.85","9.05","7.95","9.45",,,,,,,,
,"11.1","9.4","8","9.75",,,,,,,,
,"11.2","9.55","8.35","9.95",,,,,,,,
,"11.4","9.7","8.5","10.15",,,,,,,,
,"11.65","9.75","8.85","10.4",,,,,,,,
,"11.85","9.95","8.95","10.45",,,,,,,,
,"11.85","10","9.15","10.5",,,,,,,,
,"12","10.15","9.25","10.55",,,,,,,,
,"12.1","10.2","9.35","10.7",,,,,,,,
,"12.15","10.2","9.55","10.9",,,,,,,,
,"12.2","10.3","9.65","11.15",,,,,,,,
,"12.2","10.4","9.8","11.2",,,,,,,,
,"12.2","10.6","9.85","11.3",,,,,,,,
,"12.3","10.7","10","11.5",,,,,,,,
,"12.35","10.75","10.1","11.75",,,,,,,,
,"12.4","10.75","10.2","11.75",,,,,,,,
,"12.45","10.75","10.35","11.95",,,,,,,,
,"12.5","10.85","10.5","12",,,,,,,,
,"12.5","10.9","10.65","12.1",,,,,,,,
,"12.5","10.95","10.7","12.2",,,,,,,,
,"12.5","10.95","10.7","12.35",,,,,,,,
,"12.55","11","10.75","12.4",,,,,,,,
,"12.55","11.05","10.95","12.4",,,,,,,,
,"12.6","11.15","11","12.4",,,,,,,,
,"12.6","11.15","11.15","12.4",,,,,,,,
,"12.6","11.25","11.15","12.4",,,,,,,,
,"12.6","11.25","11.15","12.4",,,,,,,,
,"12.6","11.3","11.15","12.45",,,,,,,,
,"12.65","11.35","11.15","12.45",,,,,,,,
,"12.7","11.4","11.25","12.45",,,,,,,,
,"12.7","11.45","11.3","12.45",,,,,,,,
,"12.75","11.55","11.35","12.6",,,,,,,,
,"12.75","11.55","11.35","12.65",,,,,,,,
,"12.75","11.55","11.35","12.65",,,,,,,,
,"12.8","11.55","11.35","12.65",,,,,,,,
,"12.85","11.6","11.4","12.65",,,,,,,,
,"12.85","11.6","11.55","12.65",,,,,,,,
,"12.85","11.6","11.55","12.7",,,,,,,,
,"12.85","11.6","11.55","12.7",,,,,,,,
,"12.85","11.65","11.55","12.7",,,,,,,,
,"12.85","11.65","11.55","12.7",,,,,,,,
,"12.85","11.65","11.55","12.7",,,,,,,,
,"12.85","11.65","11.55","12.7",,,,,,,,
,"12.85","11.7","11.55","12.7",,,,,,,,
,"12.85","11.7","11.6","12.7",,,,,,,,
,"12.85","11.75","11.6","12.7",,,,,,,,
,"12.9","11.75","11.6","12.7",,,,,,,,
,"12.9","11.75","11.6","12.7",,,,,,,,
,"12.9","11.75","11.6","12.75",,,,,,,,
,"12.9","11.8","11.6","12.75",,,,,,,,
,"12.9","11.8","11.6","12.75",,,,,,,,
,"12.9","11.8","11.6","12.75",,,,,,,,
,"12.9","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8","11.6","12.75",,,,,,,,
,"12.95","11.8",,"12.75",,,,,,,,
,"12.95","11.8",,"12.75",,,,,,,,
,"12.95","11.8",,"12.75",,,,,,,,
,"12.95","11.8",,"12.75",,,,,,,,
,"12.95","11.8",,"12.75",,,,,,,,
,"12.95","11.8",,"12.75",,,,,,,,
,,"11.8",,"12.75",,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
,,"11.8",,,,,,,,,,
